relative_total_assets,deal_year,cross_nation,cross_industry,IG,deal_value,target_GB_amount,relative_GB_amount,has_green_bond,pscore
0.0,2022,1,1,0,121.989599827264,0.0,0.0,0,0.06428253898266781
0.0,2022,1,1,0,1160.904,0.0,0.0,0,0.06428253898266781
0.0,2022,1,1,0,362.213166360823,0.0,0.0,0,0.06428253898266781
0.4941649758083821,2018,1,1,1,6354.71016700363,0.0,0.0,0,0.0380126055225121
0.5603378012431021,2021,0,0,0,2181.92440287547,0.0,0.0,0,0.038055626077682106
1.339973574550259,2018,0,1,1,16244.872,0.0,0.0,0,0.038078325186580074
1.324848336042063,2023,0,1,0,7.23204620079577,0.0,0.0,0,0.06725916965869769
2.743157222447425,2023,0,1,0,372.18328611898,0.0,0.0,0,0.06635572008394729
1.053346873619506,2023,0,1,0,27.3098562010872,0.0,0.0,0,0.06743341019142539
0.0,2023,0,1,0,292.525961679099,0.0,0.0,0,0.06811338356057957
0.0,2023,0,1,0,15215.3529899574,0.0,0.0,0,0.06811338356057957
0.0,2023,0,1,0,1176.325,0.0,0.0,0,0.06811338356057957
0.0,2023,0,1,0,292.525961679099,0.0,0.0,0,0.06811338356057957
0.0,2023,0,1,0,15215.3529899574,0.0,0.0,0,0.06811338356057957
0.0,2023,0,1,0,1176.325,0.0,0.0,0,0.06811338356057957
0.0,2016,0,1,0,91.891791230074,0.0,0.0,0,0.04848089301824544
0.0,2016,0,1,0,37.88149700968,0.0,0.0,0,0.04848089301824544
0.0,2016,0,1,0,304.505,0.0,0.0,0,0.04848089301824544
